logi_dj_recv_query_paired_devices_fndecl_13_fns logi_dj_recv_query_paired_devices fndecl 0 13 NULL
response_length_ib_uverbs_ex_destroy_wq_resp_15_fns response_length ib_uverbs_ex_destroy_wq_resp 0 15 NULL
kfd_wait_on_events_fndecl_19_fns kfd_wait_on_events fndecl 2 19 NULL
ath10k_core_create_fndecl_34_fns ath10k_core_create fndecl 1 34 NULL
p54_init_common_fndecl_57_fns p54_init_common fndecl 1 57 NULL
bin_to_hex_dup_fndecl_62_fns bin_to_hex_dup fndecl 2 62 NULL
kvm_read_guest_fndecl_107_fns kvm_read_guest fndecl 2-4 107 NULL
acl_len_nfs_getaclres_171_fns acl_len nfs_getaclres 0 171 NULL
ufx_read_edid_fndecl_184_fns ufx_read_edid fndecl 0 184 NULL
afs_cell_alloc_fndecl_231_fns afs_cell_alloc fndecl 2 231 NULL
lf_entries_gfs2_leaf_263_fns lf_entries gfs2_leaf 0 263 NULL
read_snd_midi_event_282_fns read snd_midi_event 0 282 NULL
islpci_mgt_transaction_fndecl_297_fns islpci_mgt_transaction fndecl 5 297 NULL
xfpregs_get_fndecl_305_fns xfpregs_get fndecl 4 305 NULL
num_alt_usb_usbvision_328_fns num_alt usb_usbvision 0 328 NULL
bNumConfigurations_usb_device_descriptor_360_fns bNumConfigurations usb_device_descriptor 0 360 NULL
intel_soc_dts_iosf_init_fndecl_374_fns intel_soc_dts_iosf_init fndecl 2 374 NULL
__i2400mu_send_barker_fndecl_375_fns __i2400mu_send_barker fndecl 3 375 NULL
cx18_read_fndecl_384_fns cx18_read fndecl 3 384 NULL
mlxsw_cmd_mbox_query_aq_cap_max_num_eqs_get_fndecl_402_fns mlxsw_cmd_mbox_query_aq_cap_max_num_eqs_get fndecl 0 402 NULL
apparmor_setprocattr_fndecl_421_fns apparmor_setprocattr fndecl 4 421 NULL
hfs_file_fsync_fndecl_434_fns hfs_file_fsync fndecl 2-3 434 NULL
cem_build_path_fndecl_451_fns cem_build_path fndecl 0 451 NULL
rx_rx_dropped_frame_read_fndecl_471_fns rx_rx_dropped_frame_read fndecl 3 471 NULL
map_write_fndecl_480_fns map_write fndecl 3 480 NULL
rx_path_reset_read_fndecl_490_fns rx_path_reset_read fndecl 3 490 NULL
security_inode_getxattr_fndecl_502_fns security_inode_getxattr fndecl 0 502 NULL
mr_pool_size_srp_target_port_510_fns mr_pool_size srp_target_port 0 510 NULL
si476x_radio_read_acf_blob_fndecl_515_fns si476x_radio_read_acf_blob fndecl 3 515 NULL
grow_gnttab_list_fndecl_523_fns grow_gnttab_list fndecl 1 523 NULL
names_count_tomoyo_condition_552_fns names_count tomoyo_condition 0 552 NULL
kzalloc_node_fndecl_563_fns kzalloc_node fndecl 1 563 NULL
idma64_prep_slave_sg_fndecl_565_fns idma64_prep_slave_sg fndecl 3 565 NULL
